******,******,******,학년,교과/구분,개설대학,교과목/번호,교과목명,학점,강의,실습,담당/교수,강의시간,강의시간/(실제시간),강의실,수강/정원,수강/신청,수강꾸러미/신청,수강꾸러미/신청가능여부,비고,강의방식,
교양/교직/군사학/창업,첨성인기초 - 사고교육,NULL,1,교양,IT대학,CLTR045013,논리와 비판적 사고,3,3,0,우정민,화2B/3A/3B/목1A/1B/2A,화10:30 ~ 12:00/목09:00 ~ 10:30,IT대학1호관(공대10호관)-207,70,70,78,Y,인문교양,혼합,
교양/교직/군사학/창업,첨성인기초 - 사고교육,NULL,1,교양,IT대학,CLTR045014,논리와 비판적 사고,3,3,0,김동한,화2B/3A/3B/목1A/1B/2A,화10:30 ~ 12:00/목09:00 ~ 10:30,IT대학1호관(공대10호관)-206,70,70,68,Y,인문교양,혼합,
교양/교직/군사학/창업,첨성인기초 - 사고교육,NULL,1,교양,IT대학,CLTR045015,논리와 비판적 사고,3,3,0,성회경,화2B/3A/3B/목1A/1B/2A,화10:30 ~ 12:00/목09:00 ~ 10:30,IT대학1호관(공대10호관)-109,70,70,68,Y,인문교양,혼합,
교양/교직/군사학/창업,첨성인기초 - 사고교육,NULL,1,교양,IT대학,CLTR045016,논리와 비판적 사고,3,3,0,석미현,화2B/3A/3B/목1A/1B/2A,화10:30 ~ 12:00/목09:00 ~ 10:30,IT대학1호관(공대10호관)-205,70,70,81,Y,인문교양,혼합,
교양/교직/군사학/창업,첨성인기초 - 사고교육,NULL,1,교양,과학기술대학,CLTR045017,논리와 비판적 사고,3,3,0,김동욱,수1A/1B/2A/금2B/3A/3B,수09:00 ~ 10:30/금10:30 ~ 12:00,상주캠퍼스 제9호관-101,70,11,5,Y,상주캠퍼스/인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 사고교육,NULL,1,교양,과학기술대학,CLTR045018,논리와 비판적 사고,3,3,0,이은정,월8B/9A/9B/수7A/7B/8A,월16:30 ~ 18:00/수15:00 ~ 16:30,상주캠퍼스 도서관 및 10호관-301,70,51,45,Y,상주캠퍼스/인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 사고교육,NULL,2,교양,자연과학대학,CLTR045003,논리와 비판적 사고,3,3,0,배성민,화8B/9A/9B/목8B/9A/9B,화16:30 ~ 18:00/목16:30 ~ 18:00,생물학관-B04,70,14,9,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 사고교육,NULL,2,교양,과학기술대학,CLTR045019,논리와 비판적 사고,3,3,0,배태주,월2B/3A/3B/금1A/1B/2A,월10:30 ~ 12:00/금09:00 ~ 10:30,상주캠퍼스 제9호관-106,70,21,21,Y,상주캠퍼스/인문교양,대면,
******,******,******,학년,교과/구분,개설대학,교과목/번호,교과목명,학점,강의,실습,담당/교수,강의시간,강의시간/(실제시간),강의실,수강/정원,수강/신청,수강꾸러미/신청,수강꾸러미/신청가능여부,비고,강의방식,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,*,교양,인문대학,CLTR208002,심화글쓰기,3,3,0,하승완,월5B/6A/6B/금5B/6A/6B,월13:30 ~ 15:00/금13:30 ~ 15:00,인문대학-314,30,30,30,Y,전학년선택/(영어)/인문교양,,
